ID,NAME,EMAIL,CREATED_AT,UPDATED_AT,TIME_ZONE,IANA_TIME_ZONE,LOCALE_ID,LOCALE,ORGANIZATION_ID,ROLE,VERIFIED,TAGS,ACTIVE,SHARED,SHARED_AGENT,TWO_FACTOR_AUTH_ENABLED,MODERATOR,TICKET_RESTRICTION,ONLY_PRIVATE_COMMENTS,RESTRICTED_AGENT,SUSPENDED,REPORT_CSV,USER_FIELDS,PHONE,SHARED_PHONE_NUMBER,__HEVO__INGESTED_AT,__HEVO__LOADED_AT,ALIAS,DETAILS,NOTES,PHOTO,LAST_LOGIN_AT,SIGNATURE,PERMANENTLY_DELETED,DEFAULT_GROUP_ID,EXTERNAL_ID,ROLE_TYPE,CUSTOM_ROLE_ID,CHAT_ONLY
19811670201367,[redacted to not reveal personal info],[redacted to not reveal personal info],2023-12-13 16:40:32,2023-12-13 16:40:33,Pacific Time (US & Canada),America/Los_Angeles,1,en-US,,end-user,FALSE,"[
  ""fcr_achieved""
]",TRUE,FALSE,FALSE,FALSE,FALSE,requested,FALSE,TRUE,FALSE,FALSE,"{
  ""agent_status"": null,
  ""autoescalate_to_tier_2"": false,
  ""company"": null,
  ""csat_last_requested"": null,
  ""deactivated_date"": null,
  ""designation"": null,
  ""do_not_notify"": false,
  ""duplicate_details"": null,
  ""facility"": null,
  ""facility_id"": null,
  ""fcr_status"": ""fcr_achieved"",
  ""follow_user"": false,
  ""follower"": null,
  ""last_worked"": null,
  ""legal_thread_ticket_id"": null,
  ""lob"": null,
  ""msa"": null,
  ""number_of_past_shifts"": null,
  ""onboarded_at"": null,
  ""ongoing_legal_threat"": false,
  ""payment_dispute_date"": null,
  ""payment_fraud"": false,
  ""payments_dispute_payout"": false,
  ""role"": null,
  ""slack_channel_id_to_follow_in"": null,
  ""state"": null,
  ""status"": null,
  ""supervisor"": null,
  ""type"": null,
  ""user_class"": null,
  ""user_in_shift_now"": false
}",[redacted to not reveal personal info],,1702485652152,1702486717844,,,,,,,,,,,,FALSE
19811638267287,[redacted to not reveal personal info],[redacted to not reveal personal info],2023-12-13 16:39:42,2023-12-13 16:39:43,Pacific Time (US & Canada),America/Los_Angeles,1,en-US,19692583667479,end-user,FALSE,"[
  ""fcr_achieved""
]",TRUE,FALSE,FALSE,FALSE,FALSE,requested,FALSE,TRUE,FALSE,FALSE,"{
  ""agent_status"": null,
  ""autoescalate_to_tier_2"": false,
  ""company"": null,
  ""csat_last_requested"": null,
  ""deactivated_date"": null,
  ""designation"": null,
  ""do_not_notify"": false,
  ""duplicate_details"": null,
  ""facility"": null,
  ""facility_id"": null,
  ""fcr_status"": ""fcr_achieved"",
  ""follow_user"": false,
  ""follower"": null,
  ""last_worked"": null,
  ""legal_thread_ticket_id"": null,
  ""lob"": null,
  ""msa"": null,
  ""number_of_past_shifts"": null,
  ""onboarded_at"": null,
  ""ongoing_legal_threat"": false,
  ""payment_dispute_date"": null,
  ""payment_fraud"": false,
  ""payments_dispute_payout"": false,
  ""role"": null,
  ""slack_channel_id_to_follow_in"": null,
  ""state"": null,
  ""status"": null,
  ""supervisor"": null,
  ""type"": null,
  ""user_class"": null,
  ""user_in_shift_now"": false
}",[redacted to not reveal personal info],,1702485652147,1702486717844,,,,,,,,,,,,FALSE
19811637503767,[redacted to not reveal personal info],[redacted to not reveal personal info],2023-12-13 16:39:33,2023-12-13 16:39:34,Pacific Time (US & Canada),America/Los_Angeles,1,en-US,,end-user,FALSE,"[
  ""fcr_achieved""
]",TRUE,FALSE,FALSE,FALSE,FALSE,requested,FALSE,TRUE,FALSE,FALSE,"{
  ""agent_status"": null,
  ""autoescalate_to_tier_2"": false,
  ""company"": null,
  ""csat_last_requested"": null,
  ""deactivated_date"": null,
  ""designation"": null,
  ""do_not_notify"": false,
  ""duplicate_details"": null,
  ""facility"": null,
  ""facility_id"": null,
  ""fcr_status"": ""fcr_achieved"",
  ""follow_user"": false,
  ""follower"": null,
  ""last_worked"": null,
  ""legal_thread_ticket_id"": null,
  ""lob"": null,
  ""msa"": null,
  ""number_of_past_shifts"": null,
  ""onboarded_at"": null,
  ""ongoing_legal_threat"": false,
  ""payment_dispute_date"": null,
  ""payment_fraud"": false,
  ""payments_dispute_payout"": false,
  ""role"": null,
  ""slack_channel_id_to_follow_in"": null,
  ""state"": null,
  ""status"": null,
  ""supervisor"": null,
  ""type"": null,
  ""user_class"": null,
  ""user_in_shift_now"": false
}",[redacted to not reveal personal info],TRUE,1702485652146,1702486717844,,,,,,,,,,,,FALSE
19811609440407,[redacted to not reveal personal info],[redacted to not reveal personal info],2023-12-13 16:39:32,2023-12-13 16:39:33,Pacific Time (US & Canada),America/Los_Angeles,1,en-US,19692583667479,end-user,FALSE,"[
  ""fcr_achieved""
]",TRUE,FALSE,FALSE,FALSE,FALSE,requested,FALSE,TRUE,FALSE,FALSE,"{
  ""agent_status"": null,
  ""autoescalate_to_tier_2"": false,
  ""company"": null,
  ""csat_last_requested"": null,
  ""deactivated_date"": null,
  ""designation"": null,
  ""do_not_notify"": false,
  ""duplicate_details"": null,
  ""facility"": null,
  ""facility_id"": null,
  ""fcr_status"": ""fcr_achieved"",
  ""follow_user"": false,
  ""follower"": null,
  ""last_worked"": null,
  ""legal_thread_ticket_id"": null,
  ""lob"": null,
  ""msa"": null,
  ""number_of_past_shifts"": null,
  ""onboarded_at"": null,
  ""ongoing_legal_threat"": false,
  ""payment_dispute_date"": null,
  ""payment_fraud"": false,
  ""payments_dispute_payout"": false,
  ""role"": null,
  ""slack_channel_id_to_follow_in"": null,
  ""state"": null,
  ""status"": null,
  ""supervisor"": null,
  ""type"": null,
  ""user_class"": null,
  ""user_in_shift_now"": false
}",[redacted to not reveal personal info],,1702485652145,1702486717844,,,,,,,,,,,,FALSE
19811568091671,[redacted to not reveal personal info],[redacted to not reveal personal info],2023-12-13 16:39:08,2023-12-13 16:39:09,Pacific Time (US & Canada),America/Los_Angeles,1,en-US,,end-user,FALSE,"[
  ""fcr_achieved""
]",TRUE,FALSE,FALSE,FALSE,FALSE,requested,FALSE,TRUE,FALSE,FALSE,"{
  ""agent_status"": null,
  ""autoescalate_to_tier_2"": false,
  ""company"": null,
  ""csat_last_requested"": null,
  ""deactivated_date"": null,
  ""designation"": null,
  ""do_not_notify"": false,
  ""duplicate_details"": null,
  ""facility"": null,
  ""facility_id"": null,
  ""fcr_status"": ""fcr_achieved"",
  ""follow_user"": false,
  ""follower"": null,
  ""last_worked"": null,
  ""legal_thread_ticket_id"": null,
  ""lob"": null,
  ""msa"": null,
  ""number_of_past_shifts"": null,
  ""onboarded_at"": null,
  ""ongoing_legal_threat"": false,
  ""payment_dispute_date"": null,
  ""payment_fraud"": false,
  ""payments_dispute_payout"": false,
  ""role"": null,
  ""slack_channel_id_to_follow_in"": null,
  ""state"": null,
  ""status"": null,
  ""supervisor"": null,
  ""type"": null,
  ""user_class"": null,
  ""user_in_shift_now"": false
}",[redacted to not reveal personal info],,1702485652142,1702486717844,,,,,,,,,,,,FALSE
19811490452247,[redacted to not reveal personal info],[redacted to not reveal personal info],2023-12-13 16:35:37,2023-12-13 16:35:38,Pacific Time (US & Canada),America/Los_Angeles,1,en-US,,end-user,FALSE,"[
  ""fcr_achieved""
]",TRUE,FALSE,FALSE,FALSE,FALSE,requested,FALSE,TRUE,FALSE,FALSE,"{
  ""agent_status"": null,
  ""autoescalate_to_tier_2"": false,
  ""company"": null,
  ""csat_last_requested"": null,
  ""deactivated_date"": null,
  ""designation"": null,
  ""do_not_notify"": false,
  ""duplicate_details"": null,
  ""facility"": null,
  ""facility_id"": null,
  ""fcr_status"": ""fcr_achieved"",
  ""follow_user"": false,
  ""follower"": null,
  ""last_worked"": null,
  ""legal_thread_ticket_id"": null,
  ""lob"": null,
  ""msa"": null,
  ""number_of_past_shifts"": null,
  ""onboarded_at"": null,
  ""ongoing_legal_threat"": false,
  ""payment_dispute_date"": null,
  ""payment_fraud"": false,
  ""payments_dispute_payout"": false,
  ""role"": null,
  ""slack_channel_id_to_follow_in"": null,
  ""state"": null,
  ""status"": null,
  ""supervisor"": null,
  ""type"": null,
  ""user_class"": null,
  ""user_in_shift_now"": false
}",[redacted to not reveal personal info],,1702485652118,1702486717844,,,,,,,,,,,,FALSE
19811354264215,[redacted to not reveal personal info],[redacted to not reveal personal info],2023-12-13 16:30:58,2023-12-13 16:30:59,Pacific Time (US & Canada),America/Los_Angeles,1,en-US,,end-user,FALSE,"[
  ""fcr_achieved""
]",TRUE,FALSE,FALSE,FALSE,FALSE,requested,FALSE,TRUE,FALSE,FALSE,"{
  ""agent_status"": null,
  ""autoescalate_to_tier_2"": false,
  ""company"": null,
  ""csat_last_requested"": null,
  ""deactivated_date"": null,
  ""designation"": null,
  ""do_not_notify"": false,
  ""duplicate_details"": null,
  ""facility"": null,
  ""facility_id"": null,
  ""fcr_status"": ""fcr_achieved"",
  ""follow_user"": false,
  ""follower"": null,
  ""last_worked"": null,
  ""legal_thread_ticket_id"": null,
  ""lob"": null,
  ""msa"": null,
  ""number_of_past_shifts"": null,
  ""onboarded_at"": null,
  ""ongoing_legal_threat"": false,
  ""payment_dispute_date"": null,
  ""payment_fraud"": false,
  ""payments_dispute_payout"": false,
  ""role"": null,
  ""slack_channel_id_to_follow_in"": null,
  ""state"": null,
  ""status"": null,
  ""supervisor"": null,
  ""type"": null,
  ""user_class"": null,
  ""user_in_shift_now"": false
}",[redacted to not reveal personal info],,1702485652099,1702486717844,,,,,,,,,,,,FALSE
19811184952855,[redacted to not reveal personal info],[redacted to not reveal personal info],2023-12-13 16:27:23,2023-12-13 16:27:24,Pacific Time (US & Canada),America/Los_Angeles,1,en-US,,end-user,FALSE,"[
  ""fcr_achieved""
]",TRUE,FALSE,FALSE,FALSE,FALSE,requested,FALSE,TRUE,FALSE,FALSE,"{
  ""agent_status"": null,
  ""autoescalate_to_tier_2"": false,
  ""company"": null,
  ""csat_last_requested"": null,
  ""deactivated_date"": null,
  ""designation"": null,
  ""do_not_notify"": false,
  ""duplicate_details"": null,
  ""facility"": null,
  ""facility_id"": null,
  ""fcr_status"": ""fcr_achieved"",
  ""follow_user"": false,
  ""follower"": null,
  ""last_worked"": null,
  ""legal_thread_ticket_id"": null,
  ""lob"": null,
  ""msa"": null,
  ""number_of_past_shifts"": null,
  ""onboarded_at"": null,
  ""ongoing_legal_threat"": false,
  ""payment_dispute_date"": null,
  ""payment_fraud"": false,
  ""payments_dispute_payout"": false,
  ""role"": null,
  ""slack_channel_id_to_follow_in"": null,
  ""state"": null,
  ""status"": null,
  ""supervisor"": null,
  ""type"": null,
  ""user_class"": null,
  ""user_in_shift_now"": false
}",[redacted to not reveal personal info],TRUE,1702485652086,1702486717844,,,,,,,,,,,,FALSE
19811170407191,[redacted to not reveal personal info],[redacted to not reveal personal info],2023-12-13 16:27:20,2023-12-13 16:27:21,Pacific Time (US & Canada),America/Los_Angeles,1,en-US,,end-user,FALSE,"[
  ""fcr_achieved""
]",TRUE,FALSE,FALSE,FALSE,FALSE,requested,FALSE,TRUE,FALSE,FALSE,"{
  ""agent_status"": null,
  ""autoescalate_to_tier_2"": false,
  ""company"": null,
  ""csat_last_requested"": null,
  ""deactivated_date"": null,
  ""designation"": null,
  ""do_not_notify"": false,
  ""duplicate_details"": null,
  ""facility"": null,
  ""facility_id"": null,
  ""fcr_status"": ""fcr_achieved"",
  ""follow_user"": false,
  ""follower"": null,
  ""last_worked"": null,
  ""legal_thread_ticket_id"": null,
  ""lob"": null,
  ""msa"": null,
  ""number_of_past_shifts"": null,
  ""onboarded_at"": null,
  ""ongoing_legal_threat"": false,
  ""payment_dispute_date"": null,
  ""payment_fraud"": false,
  ""payments_dispute_payout"": false,
  ""role"": null,
  ""slack_channel_id_to_follow_in"": null,
  ""state"": null,
  ""status"": null,
  ""supervisor"": null,
  ""type"": null,
  ""user_class"": null,
  ""user_in_shift_now"": false
}",[redacted to not reveal personal info],TRUE,1702485652086,1702486717844,,,,,,,,,,,,FALSE
19811150409367,[redacted to not reveal personal info],[redacted to not reveal personal info],2023-12-13 16:26:22,2023-12-13 16:27:53,Pacific Time (US & Canada),America/Los_Angeles,1,en-US,,end-user,FALSE,"[
  ""fcr_failed""
]",TRUE,FALSE,FALSE,FALSE,FALSE,requested,FALSE,TRUE,FALSE,FALSE,"{
  ""agent_status"": null,
  ""autoescalate_to_tier_2"": false,
  ""company"": null,
  ""csat_last_requested"": null,
  ""deactivated_date"": null,
  ""designation"": null,
  ""do_not_notify"": false,
  ""duplicate_details"": null,
  ""facility"": null,
  ""facility_id"": null,
  ""fcr_status"": ""fcr_failed"",
  ""follow_user"": false,
  ""follower"": null,
  ""last_worked"": null,
  ""legal_thread_ticket_id"": null,
  ""lob"": null,
  ""msa"": null,
  ""number_of_past_shifts"": null,
  ""onboarded_at"": null,
  ""ongoing_legal_threat"": false,
  ""payment_dispute_date"": null,
  ""payment_fraud"": false,
  ""payments_dispute_payout"": false,
  ""role"": null,
  ""slack_channel_id_to_follow_in"": null,
  ""state"": null,
  ""status"": null,
  ""supervisor"": null,
  ""type"": null,
  ""user_class"": null,
  ""user_in_shift_now"": false
}",[redacted to not reveal personal info],,1702485652088,1702486717844,,,,,,,,,,,,FALSE
